datahora,Fechamento Atual
2008-01-18 14:45,18.640424999999993
2008-02-11 14:30,16.964425000000002
2008-02-27 19:00,18.16294999999998
2008-03-17 11:30,18.617625000000007
2008-04-03 11:45,17.624750000000017
2008-04-22 14:15,18.22879999999998
2008-05-09 17:45,20.118350000000007
2008-05-28 18:15,20.506725000000042
2008-06-16 10:00,20.45567499999999
2008-07-01 17:45,18.807474999999997
2008-07-18 18:15,17.4425
2008-08-05 16:45,18.089475000000007
2008-08-21 17:00,17.486324999999997
2008-09-08 18:15,16.928224999999987
2008-09-24 16:30,16.446075000000008
2008-10-13 10:45,15.485075000000034
2008-10-29 14:15,12.60902500000001
2008-11-17 12:15,13.94355
2008-12-04 17:45,13.868224999999994
2008-12-23 16:00,15.983624999999995
